Avaliação;reviews;preco_antigo;preco_atual;data
4.3;13.0;;8279.0;2025-07-28 22:06:17.449692
5.0;1.0;1999.0;1719.0;2025-07-28 22:06:17.449692
5.0;2.0;4359.0;3649.0;2025-07-28 22:06:17.449692
4.8;256.0;4999.0;4299.0;2025-07-28 22:06:17.449692
4.9;4423.0;6699.0;3299.0;2025-07-28 22:06:17.449692
4.8;40.0;6656.0;4999.0;2025-07-28 22:06:17.449692
5.0;2.0;4359.0;3649.0;2025-07-28 22:06:17.449692
;;;2444.0;2025-07-28 22:06:17.449692
5.0;7.0;4799.0;4179.0;2025-07-28 22:06:17.449692
5.0;3.0;;5732.0;2025-07-28 22:06:17.449692
5.0;3.0;;4990.0;2025-07-28 22:06:17.449692
5.0;13.0;6656.0;4999.0;2025-07-28 22:06:17.449692
4.9;10.0;6999.0;5299.0;2025-07-28 22:06:17.449692
4.7;49.0;3899.0;2865.0;2025-07-28 22:06:17.449692
;;;1949.0;2025-07-28 22:06:17.449692
;;;9590.0;2025-07-28 22:06:17.449692
;;;3914.0;2025-07-28 22:06:17.449692
;;2899.0;2754.0;2025-07-28 22:06:17.449692
;;6199.0;5409.0;2025-07-28 22:06:17.449692
5.0;1.0;2699.0;2359.0;2025-07-28 22:06:17.449692
5.0;2.0;5399.0;5009.0;2025-07-28 22:06:17.449692
5.0;1.0;;4199.0;2025-07-28 22:06:17.449692
;;;4279.0;2025-07-28 22:06:17.449692
;;;4004.0;2025-07-28 22:06:17.449692
;;;1249.0;2025-07-28 22:06:17.449692
;;;4799.0;2025-07-28 22:06:17.449692
;;;4629.0;2025-07-28 22:06:17.449692
4.9;50.0;2999.0;2262.0;2025-07-28 22:06:17.449692
4.9;419.0;5999.0;5699.0;2025-07-28 22:06:17.449692
4.9;129.0;6699.0;5983.0;2025-07-28 22:06:17.449692
;;;2969.0;2025-07-28 22:06:17.449692
;;;2789.0;2025-07-28 22:06:17.449692
4.6;1265.0;;1699.0;2025-07-28 22:06:17.449692
5.0;13.0;6656.0;4999.0;2025-07-28 22:06:17.449692
4.9;1041.0;;5999.0;2025-07-28 22:06:17.449692
;;1789.0;1490.0;2025-07-28 22:06:17.449692
4.7;46.0;4099.0;3499.0;2025-07-28 22:06:17.449692
;;;7956.0;2025-07-28 22:06:17.449692
4.8;175.0;;4544.0;2025-07-28 22:06:17.449692
4.7;104.0;2900.0;2262.0;2025-07-28 22:06:17.449692
;;;2109.0;2025-07-28 22:06:17.449692
4.1;15.0;;1190.0;2025-07-28 22:06:17.449692
5.0;2.0;;3184.0;2025-07-28 22:06:17.449692
;;;7019.0;2025-07-28 22:06:17.449692
5.0;1.0;;1999.0;2025-07-28 22:06:17.449692
4.9;236.0;;5399.0;2025-07-28 22:06:17.449692
;;;1990.0;2025-07-28 22:06:17.449692
4.9;38.0;;2899.0;2025-07-28 22:06:17.449692
4.8;50.0;7249.0;6886.0;2025-07-28 22:06:17.449692
4.6;28.0;;6541.0;2025-07-28 22:06:17.449692
;;;2990.0;2025-07-28 22:06:17.449692
5.0;1.0;2999.0;2399.0;2025-07-28 22:06:17.449692
4.8;8.0;3319.0;3069.0;2025-07-28 22:06:17.449692
4.8;668.0;4141.0;2879.0;2025-07-28 22:06:17.449692
5.0;1.0;4666.0;3299.0;2025-07-28 22:06:17.449692
;;;2990.0;2025-07-28 22:06:17.449692
5.0;1.0;2999.0;2399.0;2025-07-28 22:06:17.449692
4.4;105.0;;1399.0;2025-07-28 22:06:17.449692
4.9;398.0;;7499.0;2025-07-28 22:06:17.449692
4.9;1977.0;4799.0;4558.0;2025-07-28 22:06:17.449692
4.9;1356.0;5712.0;3899.0;2025-07-28 22:06:17.449692
4.5;387.0;2055.0;1367.0;2025-07-28 22:06:17.449692
4.9;42.0;4998.0;2879.0;2025-07-28 22:06:17.449692
;;;2699.0;2025-07-28 22:06:17.449692
3.6;5.0;;2999.0;2025-07-28 22:06:17.449692
;;;4987.0;2025-07-28 22:06:17.449692
4.7;76.0;;3158.0;2025-07-28 22:06:17.449692
5.0;3.0;;3332.0;2025-07-28 22:06:17.449692
4.8;256.0;4999.0;4299.0;2025-07-28 22:06:17.449692
4.7;43.0;3712.0;2539.0;2025-07-28 22:06:17.449692
4.9;47.0;4199.0;3599.0;2025-07-28 22:06:17.449692
4.5;4.0;;4999.0;2025-07-28 22:06:17.449692
;;3914.0;2954.0;2025-07-28 22:06:17.449692
4.0;1.0;;6249.0;2025-07-28 22:06:17.449692
;;1499.0;1334.0;2025-07-28 22:06:17.449692
4.8;14.0;2249.0;2136.0;2025-07-28 22:06:17.449692
4.1;45.0;;2999.0;2025-07-28 22:06:17.449692
4.6;28.0;;5608.0;2025-07-28 22:06:17.449692
4.7;7280.0;;2270.0;2025-07-28 22:06:17.449692
4.9;398.0;6990.0;6570.0;2025-07-28 22:06:17.449692
4.2;67.0;;2999.0;2025-07-28 22:06:17.449692
;;;4080.0;2025-07-28 22:06:17.449692
;;;4162.0;2025-07-28 22:06:17.449692
4.7;890.0;;2230.0;2025-07-28 22:06:17.449692
4.8;5440.0;;4199.0;2025-07-28 22:06:17.449692
4.7;6.0;;2968.0;2025-07-28 22:06:17.449692
4.9;295.0;;3061.0;2025-07-28 22:06:17.449692
4.0;853.0;;1399.0;2025-07-28 22:06:17.449692
;;;6997.0;2025-07-28 22:06:17.449692
;;;5185.0;2025-07-28 22:06:17.449692
4.9;398.0;;7399.0;2025-07-28 22:06:17.449692
;;;5248.0;2025-07-28 22:06:17.449692
4.9;21.0;;2599.0;2025-07-28 22:06:17.449692
4.2;67.0;;2999.0;2025-07-28 22:06:17.449692
;;;2956.0;2025-07-28 22:06:17.449692
5.0;7.0;3998.0;2754.0;2025-07-28 22:06:17.449692
5.0;1.0;3999.0;1999.0;2025-07-28 22:06:17.449692
;;;2364.0;2025-07-28 22:06:17.449692
;;;3122.0;2025-07-28 22:06:17.449692
;;;7100.0;2025-07-28 22:06:17.449692
;;1699.0;1614.0;2025-07-28 22:06:17.449692
5.0;1.0;;5899.0;2025-07-28 22:06:17.449692
;;;2999.0;2025-07-28 22:06:17.449692
;;;7796.0;2025-07-28 22:06:17.449692
;;;2340.0;2025-07-28 22:06:17.449692
4.8;8.0;3319.0;3069.0;2025-07-28 22:06:17.449692
5.0;1.0;4666.0;3299.0;2025-07-28 22:06:17.449692
4.9;1356.0;5712.0;3899.0;2025-07-28 22:06:17.449692
;;;7796.0;2025-07-28 22:06:17.449692
;;;2340.0;2025-07-28 22:06:17.449692
4.7;32.0;;2558.0;2025-07-28 22:06:17.449692
5.0;2.0;;2698.0;2025-07-28 22:06:17.449692
4.5;67.0;;2279.0;2025-07-28 22:06:17.449692
;;;1099.0;2025-07-28 22:06:17.449692
4.8;256.0;4999.0;4299.0;2025-07-28 22:06:17.449692
4.8;19.0;6657.0;4699.0;2025-07-28 22:06:17.449692
;;3123.0;1664.0;2025-07-28 22:06:17.449692
4.9;398.0;;6687.0;2025-07-28 22:06:17.449692
;;1399.0;1329.0;2025-07-28 22:06:17.449692
;;1750.0;1400.0;2025-07-28 22:06:17.449692
;;;7317.0;2025-07-28 22:06:17.449692
;;;5799.0;2025-07-28 22:06:17.449692
;;;3599.0;2025-07-28 22:06:17.449692
4.8;81.0;3563.0;3076.0;2025-07-28 22:06:17.449692
4.9;4423.0;6699.0;3299.0;2025-07-28 22:06:17.449692
4.8;37.0;4999.0;3799.0;2025-07-28 22:06:17.449692
;;;5826.0;2025-07-28 22:06:17.449692
;;2599.0;2368.0;2025-07-28 22:06:17.449692
;;;9500.0;2025-07-28 22:06:17.449692
3.8;8.0;;3322.0;2025-07-28 22:06:17.449692
;;;1890.0;2025-07-28 22:06:17.449692
5.0;2.0;1550.0;1426.0;2025-07-28 22:06:17.449692
;;;1550.0;2025-07-28 22:06:17.449692
;;;8199.0;2025-07-28 22:06:17.449692
;;3239.0;2999.0;2025-07-28 22:06:17.449692
;;;4350.0;2025-07-28 22:06:17.449692
4.9;56.0;;7999.0;2025-07-28 22:06:17.449692
5.0;4.0;;3909.0;2025-07-28 22:06:17.449692
4.4;65.0;;2658.0;2025-07-28 22:06:17.449692
